English,Överge,Syriac,Arabic
Enormity,,"ܪܵܘܪܒ݂ܘ݂ܬ݂ܵܐ   ,   ܓܘ݂ܫܡܵܢܘ݂ܬ݂ܵܐ   ,   ܡܲܚܒܿܝܵܐ","جَسَّامة  ,  فَضاعة , فداحة "
Enough,,"ܡܵܠܝܵܢܵܐ   ,   ܡܵܠܝܵܢܬܵܐ","كَافٍ  ,  وافٍ "
Enrage,,ܟܵܫܹܠ ، ܟܫܵܠܵܐ   -   ܟܪܸܒܠܹܗ ، ܪܓܸܙܠܹܗ ، ܣܩܸܕܠܹܗ ، ܪܓܸܙ ، ܚܡܲܬ݂,"يُغضب , يُسخط   -   غَضَبَ , سَخَطَ , حَنَقَ"
Enregister ,,ܣܵܓܹܠ ، ܡܣܵܓܹܠ ، ܟܵܬ݂ܹܒ݂ ، ܟܬ݂ܵܒ݂ܵܐ ،  ܫܵܛܹܪ ، ܫܛܵܪܵܐ  ، ܐܲܒܙܸܪ ,"يُسجّّل  ,  يدوّن  ,  يكتب  ,  يقيّد  ,  يشطر "
Enrol,,ܣܵܓܹܠ ، ܡܣܵܓܹܠ ، ܫܵܛܹܪ ، ܫܛܵܪܵܐ  ، ܐܲܒܙܸܪ ، ܐܲܒܙܘܿܪܹܐ,"يدرج , يُسجّل , يقيّد  ،  يشطر  (إسماً)"
Enslave,,ܫܲܥܒܸܕ݂ ، ܫܲܥܒܿܘܿܕ݂ܹܐ ، ܟܵܕ݂ܹܢ ، ܟܕ݂ܵܢܵܐ ، ܚܵܛܹܡ ، ܚܛܵܡܵܐ ,يستعبد 
Entente ,,ܩܝܵܡܵܐ ، ܒܲܪܩܝܵܡܘ݂ܬ݂ܵܐ ، ܒܲܪܐܲܘܝܘ݂ܬ݂ܵܐ ، ܕܝܵܬܹܩܹܐ ,"حِلف  ,  ميثاق  ,  معاهدة ,  اتفاق دولي "
Enter,,"ܥܵܠܹܠ ، ܥܠܵܠܵܐ ،  ܥܵܒܹܪ ، ܥܒ݂ܵܪܵܐ , ܚܵܠܹܕ݂ ، ܚܠܵܕ݂ܵܐ  ","يَدخُل  ,  يلج  "
Enterprise ,,ܬܲܪܡܝ݂ܬ݂ܵܐ    -    ܫܘ݂ܩܢܵܛܵܐ  ،  ܡܲܡܣܪܵܢܘ݂ܬ݂ܵܐ ,مشروع     -   مغامرة  ( حب المغامرة)
Entertaining,,"ܚܸܕܝܵܐ   ,   ܦܨܝ݂ܚܵܐ","سارٌ  ,  مُبهج  , مُسلّ  ,  مُفْرِحْ"
Enthrone ,,ܡܬ݂ܵܘܹܓ݂ ، ܟܵܠܹܠ   -   ܝܵܒܹܒ݂ ، ܪܲܘܪܸܒ݂ ، ܪܲܒܪܸܒ ، ܪܲܡܪܸܡ ، ܡܫܵܒܹܚ ,"يتوّج    -     يمجّد  ,   يُعظّم "
Enthusiasm,,"ܚܘ݂ܡܣܵܢܵܐ ، ܛܲܢܵܢܘ݂ܬ݂ܵܐ   ,   ܬܲܙܝ݂ܙܘ݂ܬ݂ܵܐ","حماس  ,  حماسة  ,  صرامة"
Enthusiastic ,,ܚܡܝ݂݂ܣܵܐ  ،  ܛܲܢܝ݂ܢܵܐ  ،  ܬܲܙܝ݂ܙܵܐ ,مُتَحمّس 
Entice ,,ܫܲܕ݂ܠܸܢ ، ܡܲܠܗܸܩ ، ܡܫܲܝܚܸܢ ، ܛܵܥܹܐ ، ܣܵܚܹܪ ، ܫܲܕ݂ܠܘܿܢܹܐ,"يُغري  ,  يغوي  "
Entire,,"ܓܡܝ݂ܪܵܐ  ,  ܫܲܠܡܵܐ  ،  ܨܲܚܝ݂ܚܵܐ  ،  ܡܫܲܡܠܵܐ ","كامل  ,  كُلْ  ,  تام"
Entirely,,ܡܲܠܝܵܐܝ݂ܬ݂,تماما 
Entity ,,ܐܝ݂ܬ݂ܘ݂ܬ݂ܵܐ ،  ܟܘ݂ܝܵܢܵܐ  ،  ܟܝܵܢܵܐ  ،  ܝܵܬ݂ܵܐ  ،  ܫܟ݂ܵܚܬܵܐ ,"وجود  .  كيان  ,   كينونة "
Entomb,,ܩܒܸܪܠܹܗ ،  ܩܒܲܪ  ،  ܥܲܦܝ݂ ، ܟܢܲܫ ، ܛܡܲܪ ، ܚܡܲܠ ، ܩܦܲܣ,"قَبَرَ  ,  دَفَنَ "
Entrails,,"ܡܥܲܝܵܐ   ,   ܓܘܵܝܵܐ","أمَعاء  ,  أحشاء"
Entrance,,"ܡܲܥܠܵܢܵܐ   ,   ܬܲܪܥܵܐ",مَدْخَلْ
Entreat,,ܟܵܫܹܹܦ ، ܟܫܵܦܵܐ ، ܩܵܥܹܐ ، ܩܥܵܝܵܐ ، ܦܵܝܹܣ ، ܦܝܵܣܵܐ ، ܦܲܪܦܸܠ ، ܦܲܪܦܘܿܠܹܐ,"يتوسَل  ,  يتضرّع  ,   يستعطف"
Entry ,,ܡܲܥܵܠܵܐ ، ܥܵܠܘ݂ܬ݂ܵܐ ، ܥܒ݂ܵܪܵܐ   -  ܬܲܪܥܵܐ  ،  ܡܲܥܠܵܢܵܐ ، ܡܲܥܠܵܐ ، ܫܩܵܩܵܐ ,"دخول     -   مدخل  ,  باب "
Entwist ,,ܓܵܕܹܹܠ ، ܓܕ݂ܵܠܵܐ ، ܥܵܙܹܠ ، ܥܙܵܠܵܐ ، ܣܵܪܹܓ ، ܣܪܵܓܵܐ  ، ܦܵܫܹܠ ,"يضفر  ,  يجدل "
Enumerate,,ܡܵܢܹܐ ، ܡܢܵܝܵܐ   ،  ܚܲܫܒܹܿܢ   ،   ܚܲܫܒܿܘܿܢܹܐ,"يعد  ,  يحصي   ,  يحسب"
Enunciate ,,ܟܵܫܹܦ ، ܓܵܠܹܐ ، ܬܵܐܹܪ ، ܟܫܵܦܵܐ ، ܓܠܵܝܵܐ ، ܬܐܵܪܵܐ ,يَعلن 
Enunciation ,,ܒܘ݂ܕܵܵܩܵܐ ، ܡܲܘܕܥܵܢܘ݂ܬ݂ܵܐ ،  ܒܘ݂ܝܵܢܵܐ ، ܦܸܬ݂ܚܵܐ ,"إعلان  ,  بيان  "
Envelope,,ܥܸܠܘܵܐ ، ܥܲܠܘܵܐ ، ܠܦܵܦܵܐ,"ظِرْف ,  مغلف (الرسالة)"
Envious,,"ܚܵܣܘܿܡܵܐ   ,   ܚܲܣܵܡܵܐ","حاسد , حسود"
Environment,,ܡܲܚܕܘܿܪܵܐ  ،  ܡܲܚܕܘ݂ܪܵܐ  ،  ܒܹܝܬ݂ ܚܲܝܘ݂ܬ݂ܵܐ ,"بيئة  ,  محيط  ,  إحاطة"
Envoy,,"ܐܝ݂ܙܓܲܕܵܐ   ,   ܡܫܲܕܪܵܐ   ,   ܫܠܝ݂ܚܵܐ","مَبْعوثْ ,  مُعْتَمَدْ ,  موفِدْ"
Epic ,,ܗܘ݂݂ܡܵܣܵܐ   ،   ܡܲܠܚܲܡܬܵܐ ,"مَلَحَمة  ,  الملحمة  , عمل بطولي "
Epistle,,"ܐ݀ܓܲܪܬܵܐ   ,   ܣܲܩܪܵܐ   ,   ܟܬ݂ܵܒ݂ܵܐ",رسالة
Epitome,,"ܣܘ݂ܝܵܟ݂ܵܐ   ,   ܦܵܣܝ݂ܩܵܐ   ,   ܓܕܝ݂ܡܵܐ","مُخْتصر , خلاصة , موجز"
Epoch,,"ܙܲܒ݂ܢܵܐ   ,   ܕܵܪܵܐ   ,   ܙܲܡܢܵܐ","عَصْر , زَمَن , دَهْر"
Epopee ,,ܡܲܠܚܲܡܬܵܐ   ،   ܗܘ݂ܡܵܣܵܐ ,"الملحمة  ,  ملحمة "
Equal,,"ܫܲܘܝܵܐ   ,   ܐܵܘܝܵܐ   ,   ܦ݀ܚܡܵܐ","مساوٍ  , متساوي  ,  مُعادل"
Equality,,"ܫܲܘܝܘ݂ܬ݂ܵܐ   ,   ܬܲܫܘܝ݂ܬ݂ܵܐ   ,   ܫܘ݂ܘܵܝܵܐ","مساواة ,   تساوٍ"
Equallize ,,ܬܵܪܹܨ ، ܬܪܵܨܵܐ ، ܡܬܵܪܹܨ، ܫܵܝܹܛ ، ܫܝܵܛܵܐ ، ܡܵܠܹܛ ، ܡܠܵܛܵܐ ,"يُسوّي  ,  يُعدّل "
Equalization ,,ܫܲܘܝܘ݂ܬ݂ܵܐ  ،  ܡܫܵܘܵܝܬܵܐ ،  ܬܘ݂ܩܵܠܵܐ  ,"مساواة  ,  تسوية  "
Equator,,ܣܘ݂ܪܛܵܐ ܕܫܲܘܝܘ݂ܬ݂ܵܐ,خط  الإستواء
Equipment ,,ܙܘ݂ܘܵܕ݂ܵܐ ، ܡܙܲܘܕܵܢܘ݂ܬ݂ܵܐ ، ܙܘ݂ܝܵܢܵܐ ، ܙܘ݂ܘܵܕܹ݂̈ܐ ، ܙܘ݂ܝܵܢܹ̈ܐ   ,"تجهيز   ,  تجهيزات "
Equitable,,"ܟܸܐܢܵܐ   ,   ܙܲܕܝ݂ܩܵܐ   ,   ܩܘ݂ܫܬܵܢܵܐ","عادل  ,   مُنصِفْ"
Equity,,"ܟܹܐܢܘ݂ܬ݂ܵܐ   ,   ܙܲܕܝ݂ܩܘ݂ܬ݂ܵܐ   ,   ܬܪܝ݂ܨܘ݂ܬܵܐ","عَدْل  ,  إنصافْ ,  حَقْ  ,  قِسْط"
Erase,,ܫܵܝܹܦ  ،  ܫܝܵܦܵܐ ، ܡܵܫܹܐ ،  ܡܫܵܝܵܐ ، ܡܵܚܹܐ ، ܡܚܵܝܵܐ,"يمحو  ,  يمسح  ,  يزيل "
Eraser ,,ܠܲܚܵܝܬܵܐ  ،  ܫܵܝܦܵܢܬܵܐ  ،  ܡܲܫܝ݂ܦܵܢܬܵܐ ,"ممحاة  ,  مِسّاحة "
Erosion,,ܓܪܵܕ݂ܵܐ ، ܓܸܪܕܵܐ ، ܐܘ݂ܟ݂ܠܵܢܵܐ ، ܐܲܟ݂ܠܵܢܵܐ ، ܐܸܬ݂ܐܟܹܠ   ,"تعرية  ,  تآكل   (الصخور ونحوها)"
Error,,"ܦܲܘܕܵܐ   ,   ܛܵܥܝܘ݂ܬ݂ܵܐ   ,   ܚܸܛܝܵܢܵܐ","خطأ  ,  غَلَطْ  ,  غلطة"
Erstwhile ,,ܡܸܢ ܩܕ݂ܝ݂ܡ  ،  ܠܘ݂ܩܕܲܡ  ،  ܡܸܢ ܠܘ݂ܩܕܲܡ  ,سابقاً 
Erupt ,,ܬܵܝܹܪ ، ܬܝܵܪܵܐ ، ܬܵܙܹܙ ، ܬܘ݂ܙܵܙܵܐ ، ܦܵܩܹܥ,"يثور (البركان)  ,  يتهيج   ,  ينفجر "
Eruption,,"ܬܲܙܝ݂ܙܘ݂ܬ݂ܵܐ ، ܦܩܸܥܬ݂ܵܐ , ܦܘ݂ܩܵܥܵܐ","ثوران (بركان) , هيجان ,  انفجار  "
Eruptive ,,ܬ݂ܵܝܘܿܪܵܐ  ،  ܬܲܙܝ݂ܙܵܐ  ،  ܙܩܝ݂ܦܵܐ  ، ܡܚܲܦܛܵܢܵܐ ،  ܥܝ݂ܵܪܵܐ  ,"ثائر   ,   هائج "
Escape,,ܥܪܸܩܠܹܗ ، ܥܪܲܩ ، ܦܲܪ ، ܐܹܬ݂ܦܪܸܕ݂    -   ܥܪܵܩܵܐ ، ܥܪܘ݂ܩܝܵܐ ,"هَرَبَ ,  فَرَّ    -   فِرارْ , الفرار , الهرب"
Escort ,,ܠܲܘܝܵܐ ، ܠܵܘܝܵܐ    -   ܢܵܛܘܿܪܵܐ ، ܣܩܘ݂ܠܩܵܐ ,"مُرافِق , المُرافِق     -   حَرَسْ  ,  الحرس  "
Especial,,"ܕܝ݂ܠܵܢܵܝܵܐ   ,   ܦܪܝ݂ܫܵܐ","خاص , خصوصي  ,  إستثنائي "
Especially,,"ܕܝ݂ܠܵܢܵܐܝ݂ܬ݂   ,   ܦܪܝ݂ܫܵܐܝ݂ܬ݂","خاصة , خصوصاً"
Essay,,"ܡܸܐܡܪܵܐ  ,   ܐܵܡܘܿܪܘ݂ܬ݂ܵܐ    -   ܢܘ݂ܣܵܝܵܐ ","مقالة , مَقالْ    -    مُحاولة "
Essential,,"ܐܵܢܲܢܩܵܝܵܐ   ,   ܐܲܠܨܵܝܵܐ","ضروري , جوهري , أساسي"
Essentially,,"ܫܸܪܫܵܝܵܐ   ,  ܐܲܨܠܵܝܵܐ ","أصيل , جوهري , أساسي "
Establish,,ܪܵܣܹܟ݂ ، ܪܣܵܟ݂ܵܐ ، ܢܵܨܹܒ݂ ، ܢܨܵܒ݂ܵܐ ، ܣܵܬܹܬ݂ ، ܣܘ݂ܬܵܬ݂ܵܐ ، ܚܲܡܣܸܢ ، ܚܵܬܹܬ݂  ,"يثبّت  ,  يُرسّخ  ,  يوطّد "
Estate,,ܙܢܵܐ   ،   ܐܲܝܟܲܢܵܝܘ݂ܬ݂ܵܐ ,"حالة  ,  وَضَعْ "
Estimate,,ܡܛܵܝܹܡ  ،  ܡܛܲܝܘܿܡܹܐ    ،  ܡܩܵܝܹܡ  ،  ܡܩܲܝܘܿܡܹܐ ,"يثمّن  ,  يقدّر   ,   يُخمّن "
Estimation ,,ܪܸܥܝܵܢܵܐ   ،   ܚܘ݂ܫܵܒ݂ܵܐ ,"رأي  ,  وجهة نظر "
Estop,,ܣܵܟܹܪ ، ܡܵܢܹܥ ، ܓܵܠܹܙ ، ܒܵܚܹܬ݂ ، ܡܲܟܠܸܐ ، ܥܲܪܩܸܠ ، ܚܵܓܹܪ ، ܥܵܘܹܟ݂ ، ܥܵܪܹܐ,"يَصد  ,  يمنع  ,  يَعوق "
Estrange,,ܪܵܚܹܩ ، ܛܵܘܹܚ ، ܢܵܦܹܐ ، ܪܵܕܹܦ ، ܪܵܡܹܐ ، ܫܵܕܹܐ ، ܛܵܪܹܕ݂ ، ܒܵܥܹܕ ، ܥܵܢܹܕ݂,"يبعد  ,  يقصي  ,  ينفي"
Eternal,,"ܡܬ݂ܘܿܡܵܝܵܐ , ܡܩܲܘܝܵܢܵܐ , ܐܲܡܝ݂ܢܵܐ , ܥܵܠܡܝ݂ܢܵܝܵܐ","أبدي  ,  سَرمدي"
Ethics,,"ܐܝ݂ܬܝ݂ܩܘܿܢ   ,   ܕܘ݂ܒܵܪܸ̈ܐ","آدابْ , أخلاق"
Evacuate,,ܣܵܦܹܩ  ،  ܣܦܵܩܵܐ  ،  ܡܣܵܪܹܩ  ،  ܡܣܲܪܘܿܩܹܐ      ,"يخلي  ,  يفرغ "
Evacuation,,"ܡܣܵܦܲܩܬܵܐ   ,   ܣܘ݂ܦܵܩܵܐ   ,   ܣܦܘ݂ܩܝܵܐ","إخلاء , تَركْ , إفراغْ"
Evaluate ,,"ܡܩܵܝܹܡ  ،  ܡܩܲܝܘܿܡܹܐ  ,  ܡܛܵܝܹܡ  ،  ܡܛܲܝܘܿܡܹܐ  ","يُخمّن  ,  يُقَدّر  ,  يُثمّن "
Evaluation ,,ܡܩܲܝܡܵܢܘ݂ܬ݂ܵܐ  ،  ܡܛܲܝܡܵܢܬܵܐ ,"تثمين  ,  تقييم  ,  تخمين "
Evanesce ,,ܬܵܠܹܦ  ،  ܛܵܝܹܒܿ  ،  ܛܝܵܒܵܐ  ،  ܥܵܢܹܕ݂ ، ܓܵܡܹܪ ، ܕܵܥܹܟ݂ ,"يتلاشى  ,  يضمحل  ,  يزول  ,  يفنى "
Evanescent,,ܡܵܝܘܿܬ݂ܵܐ  ،  ܐܲܒܝ݂ܕ݂ܵܐ  ،  ܬܒ݂ܝ݂ܗܵܐ ، ܣܵܝܘܿܦܵܐ,"فانْ  ,  زائلْ  ,  بائد"
Evangel ,,ܣܒܲܪܬ݂ܵܐ  ،  ܐܹܘܲܢܓܲܠܝ݂ܘܿܢ ,إنجيل  ،   المبشّر 
Evangelical ,,ܡܣܲܒܪܵܢܵܐ  ،  ܐܹܘܲܢܓܲܠܵܝܵܐ   ،  ܐܹܘܲܢܓܲܠܹܣܛܵܐ ,"إنجيلي  ,  الإنجيلي "
Evaporate ,,ܗܲܘܓܸܢ ، ܟܵܝܹܬ ، ܠܵܗܹܓ ، ܬܵܘܹܚ ، ܟܝܵܬܵܐ ، ܠܗܵܓܵܐ ، ܬܘܵܚܵܐ ,"يتبخّر  ,  يبخر "
Evasion ,,ܫܵܪܲܥܬ݂ܵܐ ، ܫܘ݂ܪܥܬ݂ܵܐ ، ܫܒܲܛܬ݂ܵܐ ،  ܫܘ݂ܒ݂ܛܬ݂ܵܐ ,"تملّصْ  ,  تجنّب  ,  مراوغة "
Even ,,ܫܵܘܹܐ  ،  ܫܘܵܝܵܐ       -    ܥܕ݂ܲܡܵܐ ،  ܥܲܕ݂ ,"مستو , متساو , بدون    -   حتى "
Evenhanded ,,ܟܹܐܢܵܐ ،  ܙܲܕܝ݂ܩܵܐ ، ܩܘ݂ܫܬܵܢܵܐ ، ܬܪܝ݂ܨܵܐ ، ܙܵܕܩܵܐ ,"عادل  ,  مُنصِف "
Evenfall ,,ܢܘ݂ܨܵܦܵܐ  ،  ܢܘ݂ܓܗܵܐ ,"غََسق  ,  الغَسق (ظلمة أول الليل) "
Evening,,ܪܲܡܫܵܐ,"مساء , عَشيَّة"
Evenly ,,ܫܘܵܬ݂  ،  ܫܲܘܝܲܬ݂   ،  ܫܲܘܝܵܐܝ݂ܬ݂ ,"بالتساوي  ,  بالعدل  , بلا  تحيّز "
Ever ,,ܐܲܡܝ݂ܢܵܐܝ݂ܬ݂  ،  ܕܠܐ ܫܲܠܘܵܬ݂ ، ܠܥܵܠܲܡ ،  ܐܲܡܝ݂ܢ ,"دائماً , أبداً"
Evergreen ,,ܐܲܡܝ݂݂ܢ ܝܲܪܘ݂ܩܘ݂ܬ݂ܵܐ   ،  ܐܲܡܝ݂ܢ ܩܝ݂ܢܘ݂ܬ݂ܵܐ ,دائم الخضرة 
Evermore ,,ܐܲܡܝ݂ܢ ،  ܠܥܵܠܲܡ  ،  ܐܲܡܝ݂ܢܵܐܝ݂ܬ݂  ،  ܕܠܐ ܫܲܠܘܵܬ݂   ,"دائماً  ,  الى الأبد"
Every,,"ܟܠ   ( ܟܠܝܘܿܡ , ܟܠܢܵܫ , ܟܠܚܲܕ݉ ܿ ܿ ܿ ܘܫܪ )","كُلْ ( كل يوم , كل واحد .. الخ)"
Evidence,,"ܬܲܚܘܝ݂ܬ݂ܵܐ  ,  ܡܦܝ݂ܣܵܢܘ݂ܬ݂ܵܐ  ,  ܦܝܵܣܵܐ  ،  ܣܵܗܕܵܐ","برهان  ,  دليل  ,  شاهد  ,  بَيّنة "
Evident,,"ܓܲܠܝܵܐ   ,   ܝ݂ܕ݂ܝ݂ܥܵܐ   ,   ܒܲܪܵܝܵܐ   ,   ܓܸܠܝܵܐ","جلي  ,  واضح ,  ظاهر  ,  بيّن"
Evil,,"ܒܝ݂ܫܵܐ   ,   ܪܲܫܝ݂ܥܵܐ","شرير , طالِحْ"
Evoke,,ܫܵܕܹܪ ܒܵܬܲܪ  ،  ܩܪܵܐ ,"يستدعي ,  يستحضر  "
Evolution ,,ܛܘ݂ܘܵܪܵܐ ، ܫܘ݂ܘܫܵܛܵܐ ، ܡܸܬ݂ܩܲܕ݂ܡܵܢܘ݂ܬ݂ܵܐ ، ܪܒ݂ܵܝܬ݂ܵܐ ، ܫܘ݂ܓ݂ܢܵܝܵܐ ,"تطور  ,  تقدّم  ,   نمو   ,  تحوّل"
Ewe,,"ܢܸܩܝܵܐ   ,   ܥܵܢܵܐ   ,   ܥܸܪܒܵܐ","شاة  ,  خروف  ,  نعجة"
Exaction ,,ܚܝܵܠܵܐ  ،  ܚܛܘ݂ܦܝܵܐ  ،  ܚܛܵܦܬܵܐ ، ܚܛܘ݂ܦܝܵܐ ، ܚܸܠܦܵܐ ، ܩܛܝ݂ܪܵܢܘ݂ܬ݂ܵܐ ,"إغتصاب  ,  إنتزاع  , (شيء يؤخذ عنوة)"
Exactly,,ܡܲܠܝܵܐܝ݂ܬ݂,"تماما  ,  بالضبط"
Exaggerate ,,ܙܵܚܹܡ ، ܙܚܵܡܵܐ ، ܥܵܓܹܪ ، ܥܓܵܪܵܐ ، ܙܵܪܹܛ  ،  ܙܪܵܛܵܐ ، ܣܵܚܹܡ ، ܣܚܵܡܵܐ  ,"يُبالغ  ,  يُغالي  ,   يُضخّم "
Exalt ,,ܪܲܡܪܸܡ ، ܡܵܪܹܙ ،  ܝܵܒܹܒ݂ ،  ܫܵܒܹܚ ,"يرفع  ,  يعلي  ,  يُمجّد "
Exaltation,,"ܪܵܡܘ݂ܬ݂ܵܐ   ,   ܡܲܣܵܩܬܵܐ   ,   ܡܕܲܪܓ݂ܵܢܘ݂ܬ݂ܵܐ","رِفعة  ,  ترقية  ,  سمو "
Exalted,,"ܡܥܲܠܝܵܐ   ,   ܪܵܡܵܐ   ,   ܥܸܠܝܵܐ","سام  ,  مرتفع  ,  باسق "
Exam   -   Examination,,"ܒܘ݂ܚܪܵܢܵܐ   ,   ܨܵܚܨܵܝܬܵܐ","إمتحان  ,  فَحصْ  ,  إختبار"
Examine,,ܒܲܚܸܢ ، ܒܚܵܢܵܐ ، ܨܲܚܨܸܐ ، ܨܲܚܨܘܿܝܹܐ ، ܒܵܨܹܐ ، ܒܨܵܝܵܐ ,"يمتحن  ,  يفحص  ,   يختبر"
Example,,"ܛܘ݂ܦ̮ܣܵܐ   ,   ܕܘ݂ܡܝܵܐ   ,   ܪܸܡܙܵܐ","مثال , نموذج"
Exanimate ,,ܡܲܐܝ݂ܢܵܐ  ،  ܪܸܦܝܵܐ  ،  ܪܲܦܝܵܐ ,"خامل  ,  بليد  ,  تنبّل "
Exasperate,,ܟܵܫܹܠ  ،  ܟܫܵܠܵܐ  ،  ܟܵܪܹܒ  ،  ܪܵܓܹܙ ,"يسخط  ,  يغضب  "
Exasperation ,,ܚܸܡܬ݂ܵܐ ، ܟܲܪܒܵܐ ، ܟܝܵܪܵܐ ، ܟܐܵܬ݂ܵܐ ،  ܟܲܒ݂ܪܵܐ ، ܚܒܝ݂ܢ ܠܹܗ ، ܚܒܝ݂ܢܠܹܗ ,"سَخطْ  ,  غَضبْ "
Except ,,ܫܵܢܹܙ  ،  ܛܲܪܦܸܢ  ،  ܫܢܵܙܵܐ  ،  ܝܵܐܹܪ  ،  ܦܵܠܹܛ ,"يستثني  ,   يشذ "
Exception,,"ܫܢܝ݂ܙܘ݂ܬ݂ܵܐ   ,   ܣܘ݂ܛܵܪܵܐ","إستثناء ,  شذوذ"
Exceptional,,"ܫܢܝ݂ܙܵܐ   ,   ܫܵܢܘܿܙܵܐ  ،  ܦܲܠܝ݂ܛܵܐ  ،  ܥܘ݂ܕ݂ܝܵܝܵܐ ",شاذ 
Excess,,"ܫܦܝ݂ܥܵܐ   ,   ܓܝ݂ܚܵܐ   ,   ܥܕܝ݂ܩܵܐ","إفراط  ,  زيادة  ,  فائض"
Exchange    ,,"ܥܵܪܹܦ  ،  ܥܪܵܦܵܐ    -    ܚܘ݂ܠܵܦܵܐ  ,  ܡܲܚܠܦܵܢܘ݂ܬ݂ܵܐ","يبادل  ,  يقايض    -    مبادلة , مقايضة"
Excise ,,ܡܲܕܲܐܬ݂ܵܐ  ،  ܫܩܘ݂ܠܬܵܐ ،  ܬܩܘ݂ܠܵܐ ، ܡܲܟ݂ܣܵܐ ، ܫܩܵܠܵܐ ، ܫܸܩܠܬ݂ܵܐ ,"ضريبة  ,  رَسمْ "
Excite,,ܠܵܒܹܛ ، ܠܵܥܒܹܛ ،   ܫܵܓܹܪ ، ܫܓ݂ܵܪܵܐ  ، ܫܵܓܹܫ  ، ܙܵܝܹܩ,"يُثير   ,   يُهيج   ,  يَستفّز "
Excitement,,"ܬܲܙܝ݂ܙܘ݂ܬ݂ܵܐ   ,   ܫܓܝ݂ܫܘ݂ܬ݂ܵܐ","هَيَجان , ثوران "
Exclaim,,ܩܵܥܹܐ ، ܩܥܵܝܵܐ ، ܨܵܪܹܚ ، ܨܪܵܚܵܐ ، ܩܵܘܹܚ ، ܩܘܵܚܵܐ ، ܙܵܥܹܩ ، ܙܥܵܩܵܐ ,"يصرخ  ,  يهتف   ,  يصيح "
Exclude ,,ܒܵܚܹܬ݂ ، ܛܵܪܹܕ݂ ، ܓܵܠܹܙ ، ܚܵܓܹܪ ، ܚܵܣܹܟ݂ ، ܪܵܡܹܐ ، ܒܵܥܹܕ݂ ، ܛܵܘܹܚ ، ܚܲܪܣܸܦ ، ܢܵܦܹܐ ، ܕܵܚܹܩ ,"يمنع  ,  يقصي  ,  يبعد "
Excrement,,"ܐܸܚܪܵܐ   ,   ܫܸܚܬܵܐ","بُراز  ,  غائط ,  روث"
Exculpate,,ܢܵܩܹܕ݂ ، ܢܩܵܕ݂ܵܐ ، ܕܵܟܹܐ ، ܕܟ݂ܵܝܵܐ ، ܙܵܟܹܐ ، ܙܟܵܝܵܐ ,"يبرئ  ,  يُطّهر"
Exculpate,,"ܢܩܸܕ݂ܠܹܗ , ܕܟܹܐܠܹܗ","برأ ,  طَهَّرَ  ,  داوى  ,  أشفى"
Excurison ,,ܦܘ݂ܪܓܵܝܵܐ  ،  ܛܘ݂ܝܵܠܵܐ ,"نُزهة  ,  رخلة قصيرة "
Excursive ,,ܦܲܗܝܵܐ ، ܦܠܝ݂ܡܵܐ ، ܥܵܢܘܿܕ݂ܵܐ ، ܫܢܝ݂ܙܵܐ ، ܫܵܛܪܵܐ ، ܫܵܓ݂ܝܵܐ ، ܡܸܨܛܲܠܝܵܢܵܐ ,"زائغ  ,  مُنحرف "
Excusable,,"ܦܚܝ݂ܠܵܐ   ,   ܡܦܘܿܚܠܵܐ   ,   ܦܫܝ݂ܚܵܐ",معذور 
Excuse,,"ܦܘ݂ܚܵܠܵܐ , ܫܘ݂ܒ݂ܩܵܢܵܐ ، ܚܘ݂ܣܵܝܵܐ    -   ܡܚܵܣܹܐ ، ܦܵܚܹܠ ، ܫܵܒܹܩ ، ܡܲܚܠܸܐ  ","عُذر , عفو   -     يصفَح , يغفر , يعفي "
Execrate,,"ܠܝܵܛܵܐ  ,  ܡܫܲܡܕܘ݂ܬ݂ܵܐ  ,  ܣܲܢܝܘ݂ܬ݂ܵܐ  ،  ܫܘ݂ܟ݂ܪܵܐ ","لَعْنْ  ,  مقتْ  "
Execration ,,ܠܲܘܛܬ݂ܵܐ  ،  ܨܘܿܚܝܵܐ  ،  ܐܵܕ݂ܵܐ  ،  ܚܘ݂ܣܵܕܵܐ  ,"لَعْنة  ,  اللعنة "
Execute ,,ܦܵܪܹܹܩ ، ܦܪܵܩܵܐ ، ܫܵܦܹܕ݂ ، ܫܦܵܕ݂ܵܐ ، ܚܵܨܹܠ ، ܚܨܵܠܵܐ ، ܓܵܝܹܙ ، ܓܝܵܙܵܐ ,"ينفذ  ,  ينجز  "
Execution ,,ܫܘ݂ܡܠܵܝܵܐ  ،  ܫܘ݂ܟ݂ܠܵܠܵܐ ،  ܫܲܪܵܪܬܵܐ ,"إنجاز  ,  تنفيذ "
Executive,, ܥܵܒ݂ܘܿܕܘ݂ܬ݂ܵܐ   ،  ܣܵܥܘܿܪܘ݂ܬ݂ܵܐ      ,"تنفيذي   ,  التنفيذي "
Exempt,,"ܡܦܘܿܚܠܵܐ   ,   ܫܘ݂ܒ݂ܝ݂ܩܵܐ","مُعفى , معذور , معفو"
Exemption,,"ܫܘ݂ܒ݂ܩܵܢܵܐ   ,   ܚܣܘ݂ܟ݂ܝܵܐ",إعفاء 
Exercise,,"ܥܘ݂ܝܵܕܵܐ ، ܢܘ݂ܦܵܩܵܐ   ,   ܕܘ݂ܪܵܫܵܐ","تمرين , ممارسة"
